ts,Ts,HighMomentum,LowMomentum,FastMomentum,Volatility,NormClose,NormVolume,Delta,HighAlpha,HighBeta,LowAlpha,LowBeta,LowGamma,Meditation,MidGamma,Theta
2022-02-02 07:01:00+00:00,1643785260,1.0005847705834796,0.9907480871472772,1.0001915370328731,0.0007360755839082,0.7117620954052672,0.0192277266092903,9841.0,643.0,4767.0,1240.0,7581.0,3615.0,13.0,803.0,2437.0
2022-02-02 07:02:00+00:00,1643785320,1.0037227450482271,0.9905610640398824,1.0019191023596936,0.0006602779917625,0.9563008101463826,0.0821415428721549,1248.0,6230.0,6994.0,2094.0,1963.0,1908.0,47.0,1682.0,3504.0
2022-02-02 07:03:00+00:00,1643785380,1.0148305840101095,0.9844782459848458,1.0061831961711307,0.0006950187827052,0.915467258737504,0.0654190594349508,9293.0,954.0,5277.0,1559.0,1719.0,1641.0,74.0,1484.0,2919.0
2022-02-02 07:04:00+00:00,1643785440,1.0107565753992511,0.9787199277968324,1.0021369732455658,0.0008159894420428,0.5440281951799752,0.0993770450194798,20164.0,3716.0,3412.0,4879.0,3706.0,869.0,60.0,1539.0,34916.0
2022-02-02 07:05:00+00:00,1643785500,1.0098597588905491,0.9787199277968324,1.0004509892586195,0.0007822495433895,0.3093111757746755,0.0105382904422478,8833.0,853.0,2252.0,1941.0,1594.0,1081.0,67.0,643.0,6492.0
2022-02-02 07:06:00+00:00,1643785560,1.003142412047042,0.9963354989353213,1.000241129093928,0.0004427265791478,0.7135164127061053,0.036197754206084,6665.0,4101.0,2827.0,2333.0,3174.0,2373.0,51.0,845.0,10330.0
2022-02-02 07:07:00+00:00,1643785620,1.006660829440888,0.9867939306860904,0.996758138051156,0.0006790166618454,0.3470280541306486,0.1034447260462575,7290.0,4285.0,2588.0,7022.0,2171.0,1289.0,75.0,721.0,6315.0
2022-02-02 07:08:00+00:00,1643785680,1.0047548187119395,0.9867939306860904,0.9995655506061332,0.0006504115838377,0.4225490924868418,0.1351386910641253,1851.0,3599.0,1934.0,2087.0,516.0,2556.0,63.0,1899.0,8639.0
2022-02-02 07:09:00+00:00,1643785740,1.0048952525213697,0.9853413120715164,0.9989768185642358,0.0007171531656902,0.4731451319177637,0.0518521569298048,2040.0,4440.0,2102.0,4333.0,2907.0,2083.0,61.0,1001.0,9058.0
2022-02-02 14:49:00+00:00,1643813340,1.0010076943819093,0.9944682542303034,0.9992688010492188,0.0004352103172497,0.5323194138289242,0.0081970497404411,3412.0,2416.0,5103.0,6823.0,3841.0,919.0,70.0,642.0,8113.0
2022-02-03 19:20:00+00:00,1643916000,1.0037348223733504,0.9946625873797036,1.0015015688446316,0.0003444660260798,0.5526641973070581,0.0612362693728667,2139.0,2956.0,2130.0,48.0,3583.0,2262.0,63.0,665.0,8681.0
2022-02-03 19:53:00+00:00,1643917980,1.0055453302672148,0.990564334384332,1.002367935007973,0.000423998395321,0.3283867903917169,0.0438530014596166,10373.0,1877.0,1518.0,4056.0,3797.0,1967.0,48.0,1827.0,9130.0
2022-02-03 19:54:00+00:00,1643918040,1.005421329097956,0.9886821987864786,0.9979374231288016,0.0004906378923181,0.0496233689893107,0.0148287503806267,10895.0,12893.0,1700.0,27735.0,1995.0,1804.0,54.0,575.0,35633.0
2022-02-03 19:55:00+00:00,1643918100,1.00060503230532,0.9900771865296468,0.999694471164892,0.0004925492438116,0.3021824077703473,0.0683424050036824,13774.0,2353.0,3300.0,21908.0,6640.0,2177.0,77.0,1020.0,39712.0
2022-02-03 19:56:00+00:00,1643918160,1.0006043878794522,0.9963309456280393,1.0008770474633353,0.0003789547552798,0.530796498626538,0.0437450400767269,2067.0,8853.0,3954.0,488.0,1884.0,1115.0,67.0,640.0,13850.0
2022-02-03 19:57:00+00:00,1643918220,1.0022710491433349,0.9956226409323224,0.9988887363351908,0.0003000068573136,0.0895195631875964,0.018773020309338,3113.0,3007.0,3511.0,10169.0,5494.0,2117.0,74.0,812.0,12251.0
2022-02-03 19:58:00+00:00,1643918280,1.0008419972483042,0.9963713888457248,0.99994687588396,0.0003081841083382,0.7749598045203524,0.0448794195461386,3754.0,608.0,2821.0,339.0,1904.0,3709.0,29.0,1177.0,11484.0
2022-02-03 19:59:00+00:00,1643918340,1.0043781576228703,0.9951880392287056,1.0000475379741542,0.0003324912547508,0.478075222615606,0.0441476293109121,8219.0,5041.0,2991.0,1602.0,1623.0,1603.0,30.0,993.0,6658.0
2022-02-03 20:00:00+00:00,1643918400,1.0030009481701745,0.9955856140265382,1.000787368361974,0.0002968154928686,0.4672414914424771,0.0324591528725749,22225.0,4183.0,2001.0,6969.0,2138.0,1850.0,53.0,2355.0,24523.0
2022-02-03 20:01:00+00:00,1643918460,1.0005634280522822,0.9957613808159532,0.9995722850143932,0.0002587951817504,0.217171785658269,0.0265449546826701,8163.0,11791.0,2077.0,10501.0,3247.0,2826.0,61.0,804.0,7619.0
2022-02-03 20:02:00+00:00,1643918520,1.0020815839984774,0.9958173619414926,0.9998679797428464,0.000205347452701,0.2763067222938858,0.0346350927252206,8419.0,2321.0,1745.0,3636.0,3667.0,2384.0,41.0,629.0,14851.0
2022-02-03 20:03:00+00:00,1643918580,1.0008476624857794,0.9970035420007476,1.0000417224014495,0.0001874942575868,0.6340860444713987,0.2228586214355759,3509.0,6047.0,1877.0,6414.0,6039.0,1758.0,66.0,2268.0,5760.0
2022-02-03 20:04:00+00:00,1643918640,1.0051808390695924,0.994845863681218,1.0018806492195522,0.0002336316502565,0.920653302295124,0.1054472397731929,2411.0,1171.0,4612.0,1411.0,1781.0,2647.0,30.0,814.0,3675.0
