ts,y
2022-02-23 02:39:00+00:00,-1
2022-02-23 02:40:00+00:00,-1
2022-02-23 02:41:00+00:00,-1
2022-02-23 02:43:00+00:00,1
2022-02-23 02:44:00+00:00,1
2022-02-23 02:45:00+00:00,1
2022-02-23 02:46:00+00:00,1
2022-02-23 02:47:00+00:00,1
2022-02-23 02:48:00+00:00,1
2022-02-23 02:49:00+00:00,1
2022-02-23 02:50:00+00:00,1
2022-02-23 02:51:00+00:00,-1
2022-02-23 02:52:00+00:00,1
2022-02-23 02:53:00+00:00,1
2022-02-23 02:54:00+00:00,1
2022-02-23 02:55:00+00:00,1
2022-02-23 02:56:00+00:00,1
2022-02-23 02:57:00+00:00,1
2022-02-23 02:58:00+00:00,1
2022-02-23 02:59:00+00:00,1
2022-02-23 03:00:00+00:00,1
2022-02-23 14:13:00+00:00,1
2022-02-23 14:14:00+00:00,1
2022-02-23 14:15:00+00:00,-1
2022-02-23 14:16:00+00:00,1
2022-02-23 14:17:00+00:00,1
2022-02-23 14:30:00+00:00,-1
2022-02-23 14:31:00+00:00,-1
2022-02-23 14:32:00+00:00,1
2022-02-23 14:33:00+00:00,-1
2022-02-23 14:34:00+00:00,1
2022-02-23 14:35:00+00:00,1
2022-02-23 14:36:00+00:00,1
2022-02-23 14:37:00+00:00,-1
2022-02-23 14:38:00+00:00,-1
2022-02-23 14:39:00+00:00,-1
2022-02-23 14:40:00+00:00,1
2022-02-23 14:41:00+00:00,1
2022-02-23 14:42:00+00:00,1
2022-02-23 14:43:00+00:00,1
2022-02-23 14:44:00+00:00,1
2022-02-23 14:45:00+00:00,-1
2022-02-23 14:46:00+00:00,-1
2022-02-23 14:47:00+00:00,-1
2022-02-23 14:48:00+00:00,-1
2022-02-23 14:49:00+00:00,-1
2022-02-23 14:50:00+00:00,-1
2022-02-23 14:51:00+00:00,-1
2022-02-23 14:52:00+00:00,-1
2022-02-23 14:53:00+00:00,-1
2022-02-23 14:54:00+00:00,-1
2022-02-23 14:55:00+00:00,-1
2022-02-23 14:56:00+00:00,-1
2022-02-23 14:57:00+00:00,-1
2022-02-23 14:58:00+00:00,-1
2022-02-24 13:56:00+00:00,-1
2022-02-24 13:57:00+00:00,-1
2022-02-24 13:58:00+00:00,-1
2022-02-24 13:59:00+00:00,1
2022-02-24 14:00:00+00:00,1
2022-02-24 14:01:00+00:00,1
2022-02-24 14:02:00+00:00,1
2022-02-24 14:03:00+00:00,1
2022-02-24 14:04:00+00:00,1
2022-02-24 14:05:00+00:00,1
2022-02-24 14:06:00+00:00,-1
2022-02-24 14:07:00+00:00,-1
2022-02-24 14:08:00+00:00,-1
2022-02-24 14:09:00+00:00,-1
2022-02-24 14:10:00+00:00,-1
2022-02-24 14:11:00+00:00,-1
